Field	Type	Null	Key	Default	Extra
id	int(10) unsigned	NO	PRI	NULL	auto_increment
user_id	int(10) unsigned	NO	MUL	NULL	
task_no	varchar(32)	NO	UNI	NULL	
total_amount	decimal(15,2)	NO		NULL	
completed_amount	decimal(15,2)	NO		0.00	
pending_amount	decimal(15,2)	NO		0.00	
deposit_amount	decimal(15,2)	NO		NULL	
frozen_amount	decimal(15,2)	NO		0.00	
service_fee_rate	decimal(5,4)	NO		0.0000	
sub_task_min	decimal(10,2)	NO		2000.00	
sub_task_max	decimal(10,2)	NO		5000.00	
channel_id	int(10) unsigned	NO		0	
start_time	int(10) unsigned	YES		NULL	
end_time	int(10) unsigned	YES		NULL	
status	enum('pending','approved','rejected','running','paused','completed','cancelled')	NO	MUL	pending	
reject_reason	varchar(255)	YES		NULL	
remark	varchar(255)	YES		NULL	
createtime	int(10) unsigned	YES		NULL	
updatetime	int(10) unsigned	YES		NULL	
